salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,block,concept
41468.4248682189,42383.26861554376,28,3,12,3,687485.909780198,7,203743.5197143876,1,1,0
129274.21095131722,0.0,31,2,14,3,573970.3899560147,4,348212.0023423257,1,1,0
139351.8765480492,0.0,44,4,5,6,270707.29247097194,11,213966.61495200457,0,1,0
24423.94072528396,19099.668759952016,50,1,17,6,119363.8764144485,16,187134.8697302484,0,1,0
76653.18464916115,0.0,79,4,4,5,444852.9947715168,18,79783.20107735215,1,1,0
97746.63405103511,0.0,22,0,16,0,1129993.9862029888,6,90218.08424659778,1,1,0
94390.69117557188,0.0,55,3,1,8,0.0,10,39389.22373474152,0,1,0
138973.9746722068,0.0,20,0,9,5,207820.95502936185,6,4405.3478937782775,1,1,0
129190.57740112004,0.0,37,1,13,3,642723.6530718225,7,394838.9760639926,1,1,0
128767.50014217418,0.0,65,0,16,0,509929.63631422585,28,319634.02947966906,1,1,0
90264.03317250426,0.0,80,3,6,4,425223.3881016098,27,292842.7964057444,1,1,0
94861.50915573,0.0,35,0,6,6,163831.59015099006,23,182350.03102530065,1,1,0
44617.02804087152,74977.03759035796,33,1,11,6,219544.8656125445,16,229756.21136567363,1,1,0
107755.82587605642,0.0,49,2,17,7,141940.17950586934,6,102062.26505716248,0,1,0
68981.37271998123,26203.231907214635,66,1,20,5,403168.8064960276,14,452244.7583058821,1,1,0
86364.86374806655,0.0,79,1,1,6,147721.59893548943,3,268961.850941257,1,1,0
67995.17712727285,38068.14651139092,48,0,18,1,393200.5718595764,4,325717.3059010021,0,1,0
88414.46547462635,0.0,49,3,15,8,0.0,27,294200.0559749527,0,1,0
109103.6467031456,0.0,36,1,2,1,683892.4377298644,14,362006.4755889885,1,1,0
75661.19190705307,0.0,46,4,18,4,317643.2627643832,29,19139.619144403376,0,1,0
106000.32232713136,0.0,56,4,6,8,0.0,24,58329.57556103024,0,1,0
109403.90013601066,0.0,57,2,2,3,298723.14781826665,18,221637.95097030664,0,1,0
74908.32583297053,84308.850050835,79,4,16,1,978338.3248608338,12,337114.8230655577,1,1,0
36582.58284631625,83437.39391316884,44,2,4,8,0.0,6,171238.25816793332,0,1,0
134996.38658105466,0.0,70,4,7,3,307926.4972234967,21,17306.286984872688,1,1,0
148309.06287285447,0.0,22,1,10,7,126494.21287468738,13,408009.8029660454,1,1,0
125618.8369066971,0.0,40,1,5,2,857414.2313288548,7,458907.7899362528,0,1,0
142392.45958719213,0.0,33,3,2,0,591576.1116817796,4,364911.9622889228,1,1,0
124438.20250299036,0.0,20,3,15,0,451169.1854689797,30,26591.838571464745,1,1,0
52529.01747916204,29893.33633435088,39,1,1,3,687298.645734713,12,263885.5201293324,1,1,0
70334.88523477239,80285.52589843485,60,1,16,0,731436.0003229177,6,493723.1901092205,1,1,0
93290.90860344937,0.0,64,4,11,2,592448.3600232652,9,202633.34320595744,1,1,0
127976.19734767637,0.0,75,3,8,4,227250.04776107744,30,435362.6696777481,1,1,0
121673.05806080624,0.0,72,1,10,8,0.0,15,480001.3306060061,1,1,0
78557.35241021946,0.0,61,1,4,4,339222.37279626995,14,399066.7674759829,1,1,0
73041.14611297155,78125.88207017319,64,2,9,1,692894.2707996477,8,304660.7000441276,1,1,0
74041.83300523447,72404.0145268061,37,1,3,2,667557.4057082479,21,480502.6842639234,1,1,0
28981.163704836163,26462.99581235249,59,1,19,4,588315.5947942801,14,460346.6434322672,0,1,0
27454.269638083915,32395.17250238373,40,4,5,3,413439.2723356116,23,230277.01606446717,0,1,0
128550.37221449956,0.0,41,4,13,5,330755.9365659638,19,114400.80526637386,0,1,0
31069.122342258328,54177.19932586513,76,1,17,6,278459.51113758,6,363027.7708544339,1,1,0
135167.89176097984,0.0,36,2,2,2,369521.00581525936,17,283277.1963728305,1,1,0
64359.23355717667,28303.222552351417,63,1,9,1,361976.0369215093,15,379340.56239093794,1,1,0
114581.61595692077,0.0,21,1,16,8,0.0,6,387709.1429289619,1,1,0
40379.10155786571,11555.447730582497,40,4,8,3,324339.3107234396,9,136399.3518969544,0,1,0
110193.88174269628,0.0,27,0,17,0,1096731.465018969,30,136211.3383810748,1,1,0
55728.592248857,50455.03234784474,21,2,7,3,743354.4399995649,3,407949.5699514405,1,1,0
70856.8875725888,80536.60498257837,26,0,6,8,0.0,27,367899.3564887179,1,1,0
52119.93210458553,17635.161919763348,33,1,13,2,346598.5612780103,28,230620.97844135825,1,1,0
98105.41741277454,0.0,30,0,13,7,123226.82960475895,16,302350.02840291854,1,1,0
147923.7184271955,0.0,40,1,3,1,934496.202219094,8,229420.5814149273,0,1,0
138037.0063494959,0.0,37,3,19,0,1085508.458591345,23,73596.93783512744,1,1,0
95135.78004255344,0.0,67,2,2,5,441816.0820674866,14,370533.2266128812,1,1,0
29432.03739393033,49693.25441702032,36,3,4,1,790575.4728147573,20,122747.64994032512,1,1,0
28079.11733790314,63728.37505109748,57,0,8,3,413920.16628442623,23,320592.66892431985,0,1,0
111753.23560586075,0.0,79,3,12,2,789176.4750747189,23,158387.0196437745,1,1,0
48692.06815350817,64371.44255772863,23,0,17,7,144240.7420943104,20,41937.37727283942,1,1,0
81848.77720335599,0.0,25,0,20,2,762070.924152586,1,82961.71438868999,1,1,0
52614.21473185842,63760.89269603672,63,3,4,0,749904.7423641072,15,378508.7704719649,1,1,0
22652.01161887221,56773.44876172743,72,4,20,1,392791.059657979,4,395621.875552754,1,1,0
36617.4636347647,78576.07272342694,67,3,14,0,1172526.1534726047,16,177229.81086276556,1,1,0
80423.62866919345,0.0,67,4,3,2,398208.1794053832,20,252619.0836922901,1,1,0
73134.6170727822,56827.40150090056,22,1,14,4,445013.4424980584,9,108946.37694029268,1,1,0
66089.27993969177,45481.13994830498,64,1,14,4,209640.1542319375,28,320383.5094947958,1,1,0
90467.69080887672,0.0,40,2,16,8,0.0,11,107128.6876106306,0,1,0
127811.46698710552,0.0,52,3,12,1,458535.314813854,24,353596.73520376155,0,1,0
88049.78067817268,0.0,49,1,5,3,318185.0473879211,9,309488.07770377025,0,1,0
41721.37811941804,39530.44699273711,35,0,10,4,200033.68936505532,8,67452.25219142025,1,1,0
138269.07021884335,0.0,53,4,1,8,0.0,23,349864.87084038416,0,1,0
95594.77465453776,0.0,74,3,17,8,0.0,23,228229.6814428492,1,1,0
131437.66409028016,0.0,71,0,18,2,308216.5501146142,3,447388.2307411674,1,1,0
123118.42092839576,0.0,63,1,1,6,266206.4121647915,6,171995.60386246533,1,1,0
117485.23789740342,0.0,27,4,15,1,352788.5114079609,22,343555.4014985376,1,1,0
120242.93055334622,0.0,45,3,20,0,511343.06699046056,21,153892.7607169383,0,1,0
88612.03986594181,0.0,21,2,19,0,866598.3954580071,20,38971.709768656,1,1,0
44592.26401968612,79481.6441789611,44,3,10,2,867139.4198344676,11,454855.389191474,0,1,0
104552.0363211565,0.0,77,3,5,3,661909.5272299364,24,339825.50855004403,1,1,0
31654.356776733428,22198.79100443039,58,0,1,1,772219.6335110759,3,144408.6384934069,0,1,0
50829.64288542722,26697.757127115103,23,0,11,5,374642.6463214357,30,268001.54938496125,1,1,0
92368.55292291573,0.0,22,1,17,3,684358.8198334804,1,3620.3766277205223,1,1,0
70459.4575664479,75164.9266457569,62,4,5,1,446578.7520746648,8,230875.6341195995,1,1,0
118571.64212423564,0.0,52,3,3,8,0.0,10,298562.44415153057,0,1,0
42076.710956692856,62371.94145710956,52,3,18,8,0.0,22,161057.1740125205,0,1,0
107990.49241814727,0.0,36,2,7,2,801535.3429637769,29,162715.37692065534,1,1,0
108247.4004099289,0.0,36,3,20,7,89119.79729472054,8,428683.9600438094,1,1,0
23898.78341721949,64843.6083290188,27,4,3,3,747351.9798324789,16,483895.87720845145,1,1,0
111102.41443027928,0.0,75,1,11,5,428605.14173459896,10,266060.9072316619,1,1,0
35700.481108112726,23098.243595067685,42,4,6,3,362848.0712780964,29,11668.66651493048,0,1,0
37477.76233059511,42306.9913926984,27,3,2,8,0.0,15,488425.0042405279,1,1,0
81529.7473563963,0.0,53,2,3,8,0.0,21,417015.59469239647,0,1,0
104927.24748771192,0.0,64,4,18,5,437187.8586895091,26,399858.4347111881,1,1,0
