salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,block,scenario,base_concept,chunk_size
104145.15067555748,0.0,21,2,8,3,600000,4,335536.1234594917,1,1,abrupt_feature_drift,0,500
86500.70664079947,0.0,20,4,7,8,100000,15,293035.34710313426,1,1,abrupt_feature_drift,0,500
39600.08923030883,75000.0,41,0,3,6,300000,28,167765.86322027014,0,1,abrupt_feature_drift,0,500
58823.15426897268,57778.77293894224,76,2,19,3,0,2,330165.7623075394,1,1,abrupt_feature_drift,0,500
128819.24746493869,0.0,30,2,12,3,600000,23,464961.3187938663,1,1,abrupt_feature_drift,0,500
70165.89417291191,75000.0,60,4,8,5,0,25,28640.774289426998,1,1,abrupt_feature_drift,0,500
113488.41234229108,0.0,33,3,13,7,200000,5,122307.7588983957,1,1,abrupt_feature_drift,0,500
49271.10503779054,75000.0,51,3,3,0,0,5,314014.1643025364,0,1,abrupt_feature_drift,0,500
145230.22474111966,0.0,75,0,4,8,100000,25,324239.428693686,1,1,abrupt_feature_drift,0,500
53337.958695870846,47885.22251887007,31,4,4,4,0,17,299490.8246803656,1,1,abrupt_feature_drift,0,500
61045.05573616506,11762.23555223544,79,2,10,3,600000,29,279936.0769596594,1,1,abrupt_feature_drift,0,500
105018.2822913072,0.0,80,4,6,4,500000,20,209686.1330134524,1,1,abrupt_feature_drift,0,500
148948.4388274997,0.0,61,2,15,8,100000,8,108058.59937586902,1,1,abrupt_feature_drift,0,500
102005.46214290411,0.0,34,0,2,5,400000,8,140000.74847948248,1,1,abrupt_feature_drift,0,500
51503.90564833955,45770.76932514233,46,1,4,1,0,12,210815.52433098308,0,1,abrupt_feature_drift,0,500
64012.171679187726,75000.0,34,1,7,8,100000,14,87723.10517563263,1,1,abrupt_feature_drift,0,500
105726.92724428645,0.0,54,0,3,3,600000,16,239583.42656139788,0,1,abrupt_feature_drift,0,500
140592.34720356797,0.0,70,3,10,6,300000,24,500000.0,1,1,abrupt_feature_drift,0,500
96210.50952543884,0.0,54,0,11,0,900000,16,248283.44106956405,0,1,abrupt_feature_drift,0,500
97600.31363769056,0.0,63,1,13,1,0,19,123335.50104963205,1,1,abrupt_feature_drift,0,500
141400.59739441873,0.0,34,2,8,4,500000,22,323961.9869737557,1,1,abrupt_feature_drift,0,500
94179.42078464774,0.0,26,0,18,3,600000,5,469967.1385432526,1,1,abrupt_feature_drift,0,500
112443.32037028956,0.0,59,4,1,8,100000,22,48347.73005685566,0,1,abrupt_feature_drift,0,500
55460.39241304883,25971.79389202268,41,1,9,8,100000,29,450387.719716303,0,1,abrupt_feature_drift,0,500
148369.81062032905,0.0,30,3,18,6,300000,4,38447.025701781466,1,1,abrupt_feature_drift,0,500
38871.75657377075,19636.26252104744,39,2,2,5,400000,8,337724.3435434671,1,1,abrupt_feature_drift,0,500
51895.97449354227,22580.538213151176,71,1,14,0,900000,30,168966.47906456905,1,1,abrupt_feature_drift,0,500
34885.826022910485,75000.0,74,3,8,3,0,15,172615.24283318938,1,1,abrupt_feature_drift,0,500
30247.739694824388,67581.63596905129,43,4,13,8,100000,1,57016.51351136024,0,1,abrupt_feature_drift,0,500
114073.13640081188,0.0,40,3,20,8,100000,29,288678.5417192277,0,1,abrupt_feature_drift,0,500
113846.10395469057,0.0,67,1,12,6,300000,22,460456.6531493728,1,1,abrupt_feature_drift,0,500
106381.85525426349,0.0,40,3,10,8,100000,14,331525.4687939674,0,1,abrupt_feature_drift,0,500
128293.24130416971,0.0,39,2,7,6,300000,20,331364.62010981835,1,1,abrupt_feature_drift,0,500
124311.11982427676,0.0,30,0,10,8,100000,20,164585.42703216622,1,1,abrupt_feature_drift,0,500
23742.999784784795,28212.36281348684,50,4,3,7,200000,21,291762.04796677275,0,1,abrupt_feature_drift,0,500
130687.84130629344,0.0,76,0,14,3,600000,23,261993.04123909303,1,1,abrupt_feature_drift,0,500
106594.63120405842,0.0,55,4,11,7,200000,24,449625.0972683416,0,1,abrupt_feature_drift,0,500
77410.52516214637,0.0,68,1,9,8,100000,8,137700.24568395372,1,1,abrupt_feature_drift,0,500
37769.64100576845,26963.49568598274,64,1,7,1,800000,11,273260.8001169374,1,1,abrupt_feature_drift,0,500
131089.12948447713,0.0,68,4,13,7,200000,12,151652.6667937553,1,1,abrupt_feature_drift,0,500
123556.7990359806,0.0,77,1,16,3,600000,16,14186.31146568072,1,1,abrupt_feature_drift,0,500
36492.02960108482,56084.64209659007,21,3,19,0,900000,14,70462.04069422239,1,1,abrupt_feature_drift,0,500
70586.16837746165,66205.6852134451,73,3,9,1,800000,24,272251.8560018621,1,1,abrupt_feature_drift,0,500
143615.8461660966,0.0,32,0,20,2,700000,16,331407.3137436334,1,1,abrupt_feature_drift,0,500
99139.2456996934,0.0,67,0,6,4,500000,1,461426.8819744779,1,1,abrupt_feature_drift,0,500
97742.91272564136,0.0,73,1,4,4,0,20,404379.1952299568,1,1,abrupt_feature_drift,0,500
29819.01475615966,58835.24529107829,20,3,16,1,800000,12,315493.377014597,1,1,abrupt_feature_drift,0,500
125980.35266092852,0.0,54,3,15,6,300000,19,131636.40341652223,0,1,abrupt_feature_drift,0,500
79663.61226888745,0.0,59,3,11,0,900000,11,92931.76608216792,0,1,abrupt_feature_drift,0,500
55239.757082227,10730.254626920198,80,1,3,3,0,16,275530.46160413534,1,1,abrupt_feature_drift,0,500
