salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,block,scenario,base_concept,chunk_size
104205.39767929552,0.0,21,2,8,3,600000,4,334827.2705919813,1,1,recurrent_feature_drift,0,500
86557.9045363908,0.0,20,4,7,8,100000,15,293811.2878614227,1,1,recurrent_feature_drift,0,500
39554.52641698519,75000.0,41,0,3,6,300000,28,167727.5075968087,0,1,recurrent_feature_drift,0,500
58738.49956514164,57778.77293894224,76,2,19,3,0,2,329249.8072453449,1,1,recurrent_feature_drift,0,500
129073.66758985944,0.0,30,2,12,3,600000,23,465735.89781621593,1,1,recurrent_feature_drift,0,500
69940.4502796697,75000.0,60,4,8,5,0,25,28182.674083737693,1,1,recurrent_feature_drift,0,500
113249.65687703768,0.0,33,3,13,7,200000,5,123531.97916461444,1,1,recurrent_feature_drift,0,500
49422.34366878762,75000.0,51,3,3,0,0,5,313424.7899571653,0,1,recurrent_feature_drift,0,500
145122.71489419098,0.0,75,0,4,8,100000,25,324523.9137395204,1,1,recurrent_feature_drift,0,500
53569.99046912004,47885.22251887007,31,4,4,4,0,17,300531.78905530565,1,1,recurrent_feature_drift,0,500
61006.38617267822,11762.23555223544,79,2,10,3,600000,29,279819.98929272423,1,1,recurrent_feature_drift,0,500
105066.47712529018,0.0,80,4,6,4,500000,20,209941.9937356217,1,1,recurrent_feature_drift,0,500
149038.1586452031,0.0,61,2,15,8,100000,8,108220.1976265672,1,1,recurrent_feature_drift,0,500
101628.36493144109,0.0,34,0,2,5,400000,8,140326.57686234417,1,1,recurrent_feature_drift,0,500
51212.41417799106,45770.76932514233,46,1,4,1,0,12,209781.819205624,0,1,recurrent_feature_drift,0,500
63908.058261735154,75000.0,34,1,7,8,100000,14,87226.13307630547,1,1,recurrent_feature_drift,0,500
105721.1296110782,0.0,54,0,3,3,600000,16,239299.1959036375,0,1,recurrent_feature_drift,0,500
140668.82194724827,0.0,70,3,10,6,300000,24,500700.8781889423,1,1,recurrent_feature_drift,0,500
96019.006465974,0.0,54,0,11,0,900000,16,248044.0697841124,0,1,recurrent_feature_drift,0,500
97691.3405636958,0.0,63,1,13,1,0,19,123400.38492019194,1,1,recurrent_feature_drift,0,500
141168.77566629997,0.0,34,2,8,4,500000,22,323445.8115701014,1,1,recurrent_feature_drift,0,500
