block_index,Learn++NSE fijo,Learn++NSE + MOEA pasivo
1,0.912,0.912
2,0.922,0.922
3,0.872,0.872
4,0.872,0.872
5,0.894,0.904
6,0.87,0.87
7,0.894,0.894
8,0.904,0.904
9,0.882,0.878
10,0.896,0.894
11,0.858,0.86
12,0.876,0.876
13,0.894,0.894
14,0.896,0.898
15,0.892,0.894
16,0.894,0.894
17,0.878,0.878
18,0.906,0.906
19,0.884,0.878
20,0.62,0.62
21,0.534,0.536
22,0.606,0.602
23,0.582,0.628
24,0.65,0.654
25,0.624,0.624
26,0.63,0.622
27,0.672,0.67
28,0.692,0.672
29,0.716,0.71
30,0.68,0.706
31,0.62,0.66
32,0.646,0.64
33,0.658,0.658
34,0.676,0.684
35,0.646,0.644
36,0.66,0.662
37,0.686,0.682
38,0.672,0.672
39,0.68,0.688
40,0.682,0.664
41,0.676,0.67
42,0.692,0.7
43,0.654,0.638
44,0.7,0.7
45,0.64,0.64
46,0.732,0.726
47,0.698,0.696
48,0.696,0.69
49,0.69,0.692
50,0.676,0.674
51,0.674,0.68
52,0.69,0.712
53,0.67,0.682
54,0.692,0.692
55,0.682,0.66
56,0.65,0.65
57,0.688,0.696
58,0.694,0.69
59,0.672,0.676
