block_index,a,b,grace_period,log_delta,max_size,ensemble_size
1,0.5,5.0,200,-7.0,20,1
2,0.6869551587157398,14.324556230490602,260,-6.759891098015295,20,2
3,1.3876733530230196,9.71119412317222,289,-6.854396876530505,20,3
4,1.1889482482002607,8.398876032382839,241,-5.253228931961572,20,4
5,1.6097751815254773,11.27031753432452,264,-5.408389069919809,20,5
6,0.4675002300682304,10.952486896845462,295,-7.7718341097891965,20,6
7,1.4157369104744562,11.11745266870977,170,-7.52747067695814,20,7
8,0.11625610004100145,10.153685691239616,284,-8.370147844939982,20,8
9,0.898227499978034,6.232784899276912,287,-8.254367591561486,20,9
10,1.650196298509083,8.11487628358995,126,-5.575959406570711,20,10
11,1.0471128910943643,13.076347212712756,153,-5.392755198199978,20,11
12,0.2991670711421215,9.711224627368782,255,-5.733732360235704,20,12
13,0.26362873754536964,14.2488029392261,250,-7.985712800742738,20,13
14,1.1630154487105324,5.759971294982403,70,-4.615044380080791,20,14
15,1.2191004515116752,4.65435814688902,50,-5.646557142579482,20,15
16,0.7916688423186515,7.4757111674732055,290,-6.141250973083961,20,16
17,1.1062039390723069,13.536070513683644,219,-7.284326863663397,20,17
18,0.5689938674811148,3.2439564096073195,51,-4.609397224281359,20,18
19,0.7161392441324252,1.3800494865300639,64,-4.573887590226618,20,19
20,1.5389294979866301,14.578220245778882,265,-5.738347086972059,20,20
21,1.1638049231342737,7.059281108714811,259,-5.703495995350332,20,20
22,0.9834801933504171,6.053311298255531,171,-7.204487445190288,20,20
23,1.730993114065932,2.482481216605019,279,-5.998474193036333,20,20
24,1.3122756510713265,7.651973166330105,277,-6.3552237979047765,20,20
25,1.0015181963402078,14.088852544086022,262,-8.106620732216825,20,20
26,0.8872298498142794,2.7771362308010605,178,-7.311029512792569,20,20
27,0.900626257058136,9.006077125933004,211,-4.821045387724548,20,20
28,1.2027075129097822,8.392982268468382,266,-5.5609583487572545,20,20
29,0.40884770914109997,11.133281912768062,131,-4.639104174421567,20,20
30,0.6962254287431192,9.984562581321931,278,-6.97352274718109,20,20
31,1.4596082741560403,5.346369709010262,274,-8.292436629709211,20,20
32,1.8807625814894537,1.1878634623143736,276,-7.8167016034086565,20,20
33,1.8353790283310407,6.024127617844457,221,-5.743810540935213,20,20
34,1.6607047275971392,14.037853130302144,282,-5.8314773506195365,20,20
35,0.14628336677238107,4.188665672558427,267,-4.741034542429106,20,20
36,1.4619562438841867,3.257545506764921,271,-8.136613650540939,20,20
37,1.2040033004211614,10.092817075401415,263,-7.490227525790916,20,20
38,1.8820686409847038,2.005919972566466,281,-7.049750914332932,20,20
39,1.2128559220285542,4.135555598615177,210,-5.397900737995458,20,20
40,0.9220584122116111,1.6308321722452737,279,-5.631165592718267,20,20
41,1.90912640765636,3.0272716502421235,180,-7.061816748481359,20,20
42,0.3615224926311866,1.9351213865735117,271,-7.578563561108097,20,20
43,0.5679888444000869,12.795997579259064,201,-7.379173906692772,20,20
44,0.2492441509937594,13.581465873041862,290,-7.671370236904089,20,20
45,0.7998631497793547,12.111031306679772,290,-7.973497509817774,20,20
46,0.31904206526715534,2.7336670130561345,271,-5.6508740017276455,20,20
47,0.44455080780976436,3.9421874786220386,264,-7.235287857128256,20,20
48,1.1939765694390625,11.779143755211798,233,-8.421356021296493,20,20
49,1.0661023126910467,10.30724704462047,279,-7.400447856144722,20,20
