block_index,Learn++NSE fijo,Learn++NSE + MOEA pasivo
1,0.912,0.912
2,0.922,0.922
3,0.872,0.872
4,0.872,0.872
5,0.894,0.904
6,0.87,0.87
7,0.894,0.894
8,0.904,0.902
9,0.882,0.88
10,0.896,0.894
11,0.858,0.858
12,0.876,0.876
13,0.894,0.894
14,0.896,0.898
15,0.852,0.852
16,0.822,0.822
17,0.816,0.816
18,0.822,0.82
19,0.782,0.782
20,0.784,0.784
21,0.724,0.734
22,0.744,0.742
23,0.714,0.682
24,0.718,0.718
25,0.704,0.698
26,0.702,0.702
27,0.678,0.684
28,0.69,0.7
29,0.68,0.676
30,0.638,0.618
31,0.598,0.542
32,0.666,0.678
33,0.632,0.648
34,0.694,0.692
35,0.672,0.66
36,0.696,0.68
37,0.692,0.686
38,0.666,0.664
39,0.672,0.674
40,0.676,0.664
41,0.65,0.652
42,0.712,0.702
43,0.64,0.644
44,0.698,0.7
45,0.64,0.634
46,0.74,0.71
47,0.724,0.696
48,0.694,0.69
49,0.684,0.684
50,0.68,0.68
51,0.676,0.668
52,0.68,0.696
53,0.676,0.676
54,0.694,0.69
55,0.682,0.708
56,0.648,0.654
57,0.688,0.69
58,0.694,0.7
59,0.672,0.67
