block_index,a,b,recent_accuracy,diversity,complexity,evaluation_elapsed
1,1.9369,13.5096,0.912,0.0,0.068383,0.068383
2,0.3329,4.6136,0.917,0.027,0.108384,0.108384
3,0.8054,13.6746,0.897,0.059667,0.145686,0.145686
4,0.6179,9.7059,0.872,0.078833,0.19049,0.19049
4,1.8206,2.0812,0.855,0.078833,0.18869,0.18869
5,1.5364,11.0597,0.888,0.096767,0.231098,0.231098
6,1.3397,13.0836,0.887,0.110333,0.272309,0.272309
7,1.5037,1.2266,0.883,0.113638,0.310279,0.310279
7,1.3471,9.9893,0.882,0.113638,0.307229,0.307229
7,0.7537,1.1902,0.88,0.113638,0.306933,0.306933
8,0.5012,4.0548,0.901,0.114048,0.334288,0.334288
8,1.1563,14.6283,0.9,0.114048,0.333372,0.333372
9,1.8906,5.2999,0.891,0.115143,0.37464,0.37464
10,1.11,14.6769,0.889,0.106111,0.420421,0.420421
10,1.1469,8.6925,0.888,0.106111,0.41486,0.41486
11,1.6607,10.6924,0.877,0.093875,0.446831,0.446831
11,0.421,6.3263,0.876,0.093875,0.443231,0.443231
12,1.0017,10.9639,0.868,0.089915,0.509035,0.509035
12,0.2636,7.3741,0.867,0.089915,0.48833,0.48833
12,1.3686,2.8,0.866,0.089915,0.48669,0.48669
13,0.2505,7.6738,0.885,0.09269,0.537935,0.537935
14,1.4796,1.2366,0.897,0.092945,0.582325,0.582325
14,0.1581,9.4968,0.896,0.092945,0.570659,0.570659
15,1.6983,5.905,0.875,0.088854,0.625747,0.625747
15,0.8483,3.1902,0.874,0.088854,0.623887,0.623887
15,0.9461,11.3315,0.873,0.088854,0.613433,0.613433
16,1.7052,2.968,0.839,0.090348,0.654804,0.654804
16,1.1271,2.514,0.838,0.090348,0.652476,0.652476
16,1.1594,4.8188,0.836,0.090348,0.651225,0.651225
17,0.297,14.0833,0.819,0.103812,0.689724,0.689724
17,0.3222,6.284,0.818,0.103812,0.685341,0.685341
18,1.0353,5.8409,0.821,0.111526,0.757451,0.757451
18,0.8472,5.4741,0.82,0.111526,0.729622,0.729622
18,1.4061,14.9491,0.817,0.111526,0.72586,0.72586
19,0.9917,14.9618,0.804,0.119644,0.779624,0.779624
19,1.9964,14.2683,0.802,0.119644,0.776196,0.776196
20,1.2198,11.6433,0.784,0.126903,0.813956,0.813956
20,1.5833,5.03,0.777,0.126903,0.808657,0.808657
21,0.2234,7.7114,0.76,0.132647,0.856509,0.856509
21,1.1642,14.8916,0.759,0.132647,0.832958,0.832958
22,1.8955,4.0113,0.741,0.157142,0.863477,0.863477
22,1.8926,8.3268,0.74,0.157142,0.837875,0.837875
22,1.731,2.1838,0.739,0.157142,0.837127,0.837127
23,0.5326,1.1755,0.731,0.172232,0.856846,0.856846
23,1.8086,9.323,0.73,0.172232,0.847707,0.847707
23,0.19,8.2551,0.727,0.172232,0.846781,0.846781
23,0.8122,4.2015,0.726,0.172232,0.837933,0.837933
24,0.2879,7.1253,0.72,0.174389,0.850389,0.850389
24,0.9741,13.7231,0.716,0.174389,0.842715,0.842715
25,1.2547,5.1169,0.717,0.173079,0.847985,0.847985
25,1.2363,7.0378,0.711,0.173079,0.845631,0.845631
25,1.0531,7.0823,0.71,0.173079,0.843426,0.843426
26,1.9606,3.5928,0.709,0.1728,0.841742,0.841742
26,1.2631,3.4881,0.706,0.1728,0.830624,0.830624
26,1.3797,9.7674,0.705,0.1728,0.826821,0.826821
27,0.1477,11.3591,0.695,0.181647,0.829797,0.829797
27,1.5585,10.8069,0.694,0.181647,0.829494,0.829494
27,1.594,10.883,0.693,0.181647,0.824575,0.824575
28,0.7122,1.6752,0.693,0.185189,0.827909,0.827909
28,0.8234,11.1333,0.692,0.185189,0.811237,0.811237
29,1.3364,9.964,0.701,0.202089,0.810003,0.810003
29,1.5459,9.8867,0.698,0.202089,0.801163,0.801163
30,1.1893,1.7265,0.656,0.214705,0.802669,0.802669
30,1.6919,1.0935,0.652,0.214705,0.800604,0.800604
31,0.6103,14.9933,0.628,0.226011,0.81514,0.81514
31,0.5529,14.7922,0.626,0.226011,0.80731,0.80731
31,0.6103,14.7922,0.625,0.226011,0.803027,0.803027
31,0.5178,1.4481,0.578,0.226011,0.800681,0.800681
32,1.3852,10.3688,0.639,0.243337,0.808248,0.808248
32,1.1732,8.3435,0.637,0.243337,0.802298,0.802298
33,1.8931,14.153,0.669,0.259205,0.856129,0.856129
33,1.861,14.262,0.668,0.259205,0.804601,0.804601
33,1.873,11.5209,0.662,0.259205,0.801586,0.801586
33,0.5053,3.1438,0.658,0.259205,0.797047,0.797047
34,0.7053,3.4332,0.679,0.283874,0.827272,0.827272
34,1.3484,1.7939,0.677,0.283874,0.819711,0.819711
34,0.4597,1.7939,0.676,0.283874,0.8175,0.8175
34,0.2484,5.3245,0.674,0.283874,0.817342,0.817342
34,1.3966,11.0924,0.673,0.283874,0.811162,0.811162
35,1.5982,2.2223,0.679,0.295732,0.785239,0.785239
35,1.6222,8.928,0.678,0.295732,0.784347,0.784347
36,1.6958,4.4637,0.682,0.294632,0.818151,0.818151
36,1.6781,4.7177,0.679,0.294632,0.813517,0.813517
36,0.8958,13.8119,0.675,0.294632,0.795335,0.795335
37,0.1663,11.1015,0.693,0.297589,0.797789,0.797789
37,0.1939,1.4343,0.691,0.297589,0.795036,0.795036
37,1.9162,8.7289,0.69,0.297589,0.792005,0.792005
37,1.9223,1.4842,0.668,0.297589,0.784649,0.784649
38,1.5153,11.8573,0.678,0.300847,0.813165,0.813165
38,0.1696,9.3259,0.675,0.300847,0.810865,0.810865
39,1.8329,9.5465,0.673,0.292637,0.813532,0.813532
39,0.9248,3.9628,0.661,0.292637,0.808644,0.808644
40,1.0845,6.0336,0.682,0.288263,0.807121,0.807121
40,0.5255,5.2747,0.681,0.288263,0.788139,0.788139
40,0.5133,14.667,0.674,0.288263,0.78278,0.78278
40,1.1442,14.0369,0.671,0.288263,0.781547,0.781547
41,0.6436,4.8315,0.667,0.303584,0.776879,0.776879
41,0.8064,1.5605,0.647,0.303584,0.77642,0.77642
42,0.5113,6.0575,0.679,0.310579,0.76985,0.76985
