block_index,Learn++NSE fijo,Learn++NSE + MOEA dinámico
1,0.856,0.856
2,0.836,0.836
3,0.886,0.886
4,0.88,0.88
5,0.874,0.874
6,0.874,0.874
7,0.88,0.88
8,0.504,0.504
9,0.522,0.522
10,0.532,0.532
11,0.556,0.556
12,0.528,0.528
13,0.622,0.622
14,0.61,0.61
15,0.6,0.6
16,0.522,0.522
17,0.908,0.908
18,0.864,0.864
19,0.89,0.89
20,0.502,0.502
21,0.51,0.51
22,0.598,0.624
23,0.63,0.644
24,0.61,0.556
25,0.886,0.884
26,0.852,0.86
27,0.472,0.464
28,0.528,0.56
29,0.568,0.58
30,0.574,0.56
31,0.856,0.856
32,0.87,0.864
33,0.87,0.87
34,0.846,0.848
35,0.5,0.502
36,0.53,0.552
37,0.626,0.734
38,0.614,0.694
39,0.59,0.624
