block_index,a,b,max_size,ensemble_size
1,0.5,5.0,20,1
2,0.5,5.0,20,2
3,0.5,5.0,20,3
4,0.5,5.0,20,4
5,0.5,5.0,20,5
6,0.5,5.0,20,6
7,0.5,5.0,20,7
8,0.5,5.0,20,8
9,0.5,5.0,20,9
10,0.5229751974814197,5.600101417868271,9,9
11,0.5229751974814197,5.600101417868271,9,9
12,0.5229751974814197,5.600101417868271,9,9
13,0.5229751974814197,5.600101417868271,9,9
14,0.5229751974814197,5.600101417868271,9,9
15,0.5229751974814197,5.600101417868271,9,9
16,0.5229751974814197,5.600101417868271,9,9
17,0.5229751974814197,5.600101417868271,9,9
18,0.5229751974814197,5.600101417868271,9,9
19,0.5229751974814197,5.600101417868271,9,9
20,0.9218299134120311,2.065426070434543,9,9
21,0.9218299134120311,2.065426070434543,9,9
22,0.9218299134120311,2.065426070434543,9,9
23,0.9218299134120311,2.065426070434543,9,9
24,0.9218299134120311,2.065426070434543,9,9
25,0.9218299134120311,2.065426070434543,9,9
26,0.9218299134120311,2.065426070434543,9,9
27,0.9218299134120311,2.065426070434543,9,9
28,0.9218299134120311,2.065426070434543,9,9
29,0.9218299134120311,2.065426070434543,9,9
30,1.3060460188278469,3.096289415276237,19,9
31,1.3060460188278469,3.096289415276237,19,10
32,1.3060460188278469,3.096289415276237,19,11
33,1.3060460188278469,3.096289415276237,19,12
34,1.3060460188278469,3.096289415276237,19,13
35,1.3060460188278469,3.096289415276237,19,14
36,1.3060460188278469,3.096289415276237,19,15
37,1.3060460188278469,3.096289415276237,19,16
38,1.3060460188278469,3.096289415276237,19,17
39,1.3060460188278469,3.096289415276237,19,18
