block_index,a,b,max_size,recent_accuracy,diversity,complexity,evaluation_elapsed
20,0.9377,9.5933,5,0.651714,0.295624,70.0,1.636544
20,0.5526,10.7053,5,0.651714,0.295624,70.0,1.586707
20,0.5479,12.5781,6,0.648286,0.306748,84.0,1.794191
20,0.5089,5.3101,8,0.647571,0.318217,112.0,2.063504
20,0.9345,9.5933,29,0.647,0.31892,406.0,2.454663
20,0.7819,13.4689,15,0.646286,0.31892,210.0,2.43033
27,1.8623,12.5154,22,0.680429,0.31888,308.0,2.447916
27,1.1311,7.1238,5,0.675429,0.294443,70.0,1.598098
27,1.1348,7.1238,5,0.675429,0.294443,70.0,1.589959
27,1.944,7.0581,5,0.675429,0.294443,70.0,1.592703
27,1.8641,10.3785,6,0.671714,0.3049,84.0,1.765763
27,1.8623,12.7268,6,0.671714,0.3049,84.0,1.764361
35,1.6225,1.2785,14,0.690286,0.330105,196.0,2.486255
35,1.6215,2.7462,10,0.689429,0.322043,140.0,2.257664
35,1.6215,1.9112,12,0.688857,0.327215,168.0,2.39457
35,1.9585,10.9005,9,0.686714,0.322368,126.0,2.154846
35,1.9933,11.0497,9,0.686714,0.322368,126.0,2.186232
35,1.5933,8.7164,11,0.686143,0.323643,154.0,2.325359
